company,job_posting_time,number_applicant,job_title,job_description,seniority_level,job_function,industries
PT. Indosat Tbk,1 day ago,200,Data Scientist,"Conduct descriptive and advanced statistical analyses to provide actionable insights, identify trends, and measure performance ​Build marketing analytics models (e.g., propensity models, next-best-action, churn prediction, channel propensity) to inform test selection, prioritization ​Collect data across different data systems​Piece together data to build a clear picture of the customer, and communicate to the squad via “Customer Fact Pack”​Interface with Business Lead to bring insights into the squad and drive further analysis as required​Coach squad members on data-driven insights to inform high-impact testing hypotheses​Share best practices with regard to analytics and measurement +7 years experience in the similar roleGraduated from Statistics, Math, or Engineering Strong understanding of analytics, statistics, and ability to communicate, share knowledge, and visualize data such that it is easily digestible​Expertise working with large data sets, simulation/optimization, and distributed computing tools​Propensity to drive 2nd and 3rd order insights from analytics and test results to support hindsight and drive further analysis​Strong background in database development and model designDeep grounding in the customer and how to use analytics to drive high impact testing​Ownership mindset; customer insights are the foundation of the squad",Mid-Senior level,Analyst,Telecommunications and Financial Services
byOrange,1 week ago,181,Data Scientist,"Work with large and complex datasets to extract meaningful insights, identify patterns, and uncover hidden relationships. Apply statistical analysis and data mining techniques to gain actionable insights that support decision-making processes.Design, develop, and implement machine learning models, algorithms, and predictive analytics to solve business problems and optimize processes. Collaborate with cross-functional teams to integrate these models into our products and services.Data Visualization and Reporting: Create visually appealing and informative data visualizations and reports to communicate findings and insights to both technical and non-technical stakeholders. Present complex concepts and results in a clear and concise manner.Experimentation and Optimization: Conduct A/B testing and experimentation to improve algorithms, models, and data-driven processes. Continuously monitor and evaluate model performance and propose enhancements to achieve better accuracy and efficiency.Collaborate with product managers, engineers, and other stakeholders to understand business requirements and provide data-driven solutions. Participate in brainstorming sessions and contribute innovative ideas to improve products and services.Ensure the accuracy, integrity, and reliability of data used for analysis and modeling. Identify and address data quality issues, inconsistencies, and anomalies.Keep up-to-date with the latest advancements in data science, machine learning, and related fields. Attend conferences, workshops, and online courses to enhance your knowledge and skills. Bachelor's or Master's degree in a quantitative field such as Mathematics, Data Science, Computer Science, Statistics, or a related discipline.Strong proficiency in programming languages such as Python, R, or JavaSolid understanding of statistical concepts and methodologies.Experience with SQL and working with relational databases.Familiarity with data visualization tools (e.g., Tableau, Power BI) and techniques.Knowledge of big data processing frameworks such as Hadoop or Spark is a plus.Strong problem-solving skills and the ability to work independently as well as in a team.Excellent communication skills to effectively convey complex findings to both technical and non-technical stakeholders.",Mid-Senior level,Engineering and Information Technology,Internet Publishing
Amar Bank,1 month ago,200,Jr Data Scientist,"Data Cleaning and Preprocessing: data cleaning and preprocessing tasks, preparing data for analysisImplementation of Models: implementing machine learning models may work on simpler models and have less experience in selecting and fine-tuning themCollaboration: work closely with senior team members, learning from them and contributing to projects under guidanceDocumentation: documenting their work, including data processing steps, model implementation, and results Education: a bachelor's or master's degree in a relevant field such as computer science, statistics, or a related quantitative disciplineProgramming skills: proficiency in programming languages like Python or RBasic statistics and mathematics: understanding of basic statistical concepts and mathematical foundations of machine learningTools and Frameworks: familiarity with common data science tools and frameworksCommunication Skills: ability to communicate findings effectively to both technical and non-technical stakeholders Prior working experience from banking sector, especially from area of debt collection",Not Applicable,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage"
Tech Mahindra,4 days ago,157,Data Scientist,"Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 3 - 5 years' of experience in quantitative analytics or data modelingDeep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsFluency in a programming language Familiarity with Big Data frameworks and visualization toolsStrong expertise in Fraud modeling as well as NLPHaving capability of coaching other team membersFluent in English",Mid-Senior level,Engineering and Information Technology,IT Services and IT Consulting
ilmuOne Data,4 days ago,72,Data Scientist (FT),"Assist in methodology research, data processing, and documentation to conduct independent self-guided exploration of research and frame open-ended industry questions, including, but not limited to:Conducts statistical analyses to develop strategies,Builds predictive models and machine-learning algorithms,Identifies data patterns and trends,Proposes solutions and strategies to business challenges,Presents information using data visualization techniques, andDocuments all processes and research.Discover new opportunities to optimize the business through machine learning and/or statistical modelling.Assist the design and development of analytical projects designed to understand key business behaviors that drive customer acquisition, retention, and engagement through machine learning and/or statistical modelling.Assist in implementation of client’s analytics solutions with internal Project Coordinator.Develop and maintain client analytics reports. Conducts statistical analyses to develop strategies,Builds predictive models and machine-learning algorithms,Identifies data patterns and trends,Proposes solutions and strategies to business challenges,Presents information using data visualization techniques, andDocuments all processes and research.Discover new opportunities to optimize the business through machine learning and/or statistical modelling.Assist the design and development of analytical projects designed to understand key business behaviors that drive customer acquisition, retention, and engagement through machine learning and/or statistical modelling.Assist in implementation of client’s analytics solutions with internal Project Coordinator.Develop and maintain client analytics reports. Commits to personal learning and growth.A drive to learn and master new technologies and techniques. Tangibles1-2 years of professional experiences in Data Science fields. Fresh graduate are welcome to applyMandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets.Intermediate Mathematical, Statistical, and/or Machine Learning skills required, and their real-world advantages/drawbacks.Knowledge and/or experience in working with structured and/or unstructured data sets.Knowledge and/or experience in Data Architecture and Engineering is a plus, especially Google Cloud Platform.Familiar with Data Visualization Tools, Google Data Studio is a plus.CharacterProblem-solving skills, structured thinking and scientific approach required.Ability to work with minimal supervision and keep supervisors informed.Ability to work well in a team environment.Ability to communicate in clear and concise terms.Willing to learn new skills and able to do so independently.Ability to take initiative.",Entry level,Science,IT Services and IT Consulting
Kelola Talenta Global,1 week ago,53,Machine Learning Engineer,"Design, develop, and implement effective and scalable machine-learning models to solve complex problems, using appropriate algorithms and necessary techniques.Collect, clean, and analyze data to understand relevant trends, patterns, and insights that can be applied in machine learning model development.Evaluate model performance periodically, tune parameters, and improve the model so that it remains relevant and in line with business or project needs.Collaborate with cross-disciplinary teams, such as data engineers, data scientists, and business stakeholders, and communicate effectively regarding the process, results, and implications of the models developed.Ensure that the development and implementation of machine learning models comply with relevant ethical principles and maintain security and data privacy aspects.Continue to deepen knowledge about the latest technology, algorithms and developments in the world of machine learning to present innovative and effective solutions. Bachelor's degree in Computer Science or a related field is preferred1-3 year of experience as a Machine Learning Engineer or similar roleKnowledge of AI Development and Machine Learning Algorithm Knowledge of Python Programming Language Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn and TensorFlow)Willing to WFOMinimum GPA of 3.0",Mid-Senior level,Engineering and Information Technology,Internet Publishing
Indodana,3 weeks ago,159,Data Scientist - Risk Platform,"Perform features selection, parameter binning, and optimize custom predictive machine learning models for credit risk scoringQuery, process, cleanse, and verify the integrity of data used for analysisAnalyze key metrics to determine risk and explore areas for improvementsCreate reports and dashboards to monitor model impact and performanceHelp build the variety of data ingredients needed to do modelling effectivelyMaintain the credit risk model platform which is utilized by the teamProvide advice and guidance on potential efficiency gains and new state-of-the-art credit risk modelling methodologies Bachelor degree in an analytical or quantitative discipline (e.g. math, statistics, engineering, computer science), however other disciplines will be consideredExperienced in using statistical computer languages such as R, Python SAS, SQL, or advanced MS Excel skills is a plus. Have good communication skills and able to work together in a teamExcellent problem-solving skills and have the drive to learn and master new technologies and techniquesWillingness to learn new skills independently and have a strong sense of project ownershipNot afraid to get your hands dirty to explore data and build statistical models",Associate,Engineering and Information Technology,Financial Services
NielsenIQ,4 days ago,200,Data Scientist,"Own Data Science solutions for client requests and provide initial recommendations for complex client raised issuesSupport Internal and External Clients with the understanding of Data Science design and methodologyAccompanied senior leaders meet with clients to understand business needs and help offer innovative solutionsWork on creating new solutions, use cases, proof of concept and prototypes by exploring diverse data sets using tools such as python/rUnderstand Nielsen products and services to suggest new solutions for client challengesCollaborate with other Data Science team unitsAutomate and develop solutions for existing processesInnovate and create out of the box solutions by leveraging large and diverse data sets and state of the art technologies",Mid-Senior level,Administrative,Market Research
TyrAds,1 week ago,28,Data Scientist," Develop and implement machine learning models to solve complex business problems. Analyse large, complex data sets to identify patterns, trends, and insights. Collaborate with cross-functional teams to understand business needs and deliver data-driven solutions. Build and maintain data pipelines and ensure data quality and integrity. Communicate findings and recommendations to technical and non-technical stakeholders. Stay up-to-date with emerging technologies and data science techniques.  Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or related field. Minimum of 2-3 years of experience in data science or machine learning roles. Strong programming skills in Python, R, or other programming languages. Experience with machine learning algorithms such as supervised and unsupervised learning, deep learning, and reinforcement learning. Experience with data visualisation tools such as Tableau, Power BI, or D3.js. Strong analytical and problem-solving skills. Excellent communication and collaboration skills. Experience with distributed computing frameworks such as Apache Spark, Hadoop, or Dask. Experience with cloud computing platforms such as AWS, GCP, or Azure. Experience with natural language processing (NLP) and computer vision (CV) applications. Experience with software development practices such as version control, code reviews, and testing.  We have a supportive team atmosphere and a positive work environment. Pay Rate is determined by experience and bonus from on-time deliveries. Wear anything you like to the office – and be as comfortable at work as you are in your own living room. Personal improvement plan, on job assistance. In-office: daily fruit + juice + snacks, good coffees. In-office: multiple workplaces, creative stations, excellent work environment.",Associate,Other,Advertising Services
TrimCheck,5 days ago,Be among the first 25 applicants,Swift Developer,"Writing well-designed, testable and efficient code.Working as a part of a dynamic team to deliver winning releases.Providing code documentation and other inputs to technical documents.Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.Troubleshooting and debugging to optimise performance. You possess a Degree/Diploma in Computer Science, Engineering or related field.You possess strong knowledge of Swift (min. 4 yrs experience)Expert knowledge of the iOS SDK (UIKit, Storyboards, Core Animation, Core Data, Auto-layout)Knowledge of Unit Testing frameworks, ideally some understanding of Automation testing.Experience with dependency managers (e.g. CocoaPods, Swift Package Manager).Java experience is a great bonusKnowledge about CI/CDFamiliarity with using Scrum/Agile development methodologies.You are highly goal driven and work well in fast paced environmentsYou are adaptable and thrive in changing environmentsAbility to break down complex requirements into workable tasks. Leadership RoleAttractive salary & benefitsWork alongside & learn from best in class talent",Entry level,Engineering and Information Technology,Software Development
